Inference for Stan model: anon_model_bc96f3f32db6b63e3e6830908631d52a.
1 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=1000.

           mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
X[183,0] 1533.3  3.9e-3   0.12 1533.0 1533.2 1533.3 1533.3 1533.5   1000    1.0
X[184,0] 1541.6  4.1e-3   0.13 1541.4 1541.6 1541.6 1541.7 1541.9   1000    1.0
X[185,0] 1550.0  4.1e-3   0.13 1549.7 1549.9 1550.0 1550.0 1550.2   1000    1.0
X[186,0] 1558.3  3.8e-3   0.12 1558.0 1558.2 1558.3 1558.3 1558.5   1000    1.0
X[187,0] 1566.6  4.2e-3   0.13 1566.3 1566.5 1566.6 1566.7 1566.9   1000    1.0
X[188,0] 1575.0  3.9e-3   0.12 1574.7 1574.9 1575.0 1575.0 1575.2   1000    1.0
X[189,0] 1583.3  4.9e-3   0.15 1583.0 1583.2 1583.3 1583.4 1583.6   1000    1.0
X[190,0] 1591.6  4.3e-3   0.13 1591.3 1591.6 1591.6 1591.7 1591.9   1000    1.0
X[191,0] 1599.9  4.3e-3   0.14 1599.6 1599.8 1599.9 1600.0 1600.2   1000    1.0
X[192,0] 1608.3  4.1e-3   0.13 1608.0 1608.2 1608.3 1608.3 1608.5   1000    1.0
X[193,0] 1616.6  3.9e-3   0.12 1616.3 1616.5 1616.6 1616.7 1616.9   1000    1.0
X[194,0] 1624.9  4.4e-3   0.14 1624.7 1624.9 1625.0 1625.0 1625.2   1000    1.0
X[195,0] 1633.3  4.2e-3   0.13 1633.0 1633.2 1633.3 1633.4 1633.6   1000    1.0
X[196,0] 1641.6  4.1e-3   0.13 1641.3 1641.5 1641.6 1641.7 1641.9   1000    1.0
X[197,0] 1650.0  4.2e-3   0.13 1649.7 1649.9 1649.9 1650.0 1650.2   1000    1.0
X[198,0] 1658.3  4.4e-3   0.14 1658.0 1658.2 1658.3 1658.4 1658.6   1000    1.0
X[199,0] 1666.6  4.5e-3   0.14 1666.3 1666.5 1666.6 1666.7 1666.9   1000    1.0
X[200,0] 1675.0  4.6e-3   0.15 1674.6 1674.9 1675.0 1675.0 1675.3   1000    1.0
X[201,0] 1683.3  4.0e-3   0.13 1683.0 1683.2 1683.3 1683.4 1683.5   1000    1.0
